"key", "en", "de", "fr", "es", "swe", "tr", "pl", "it", 
life_after,life after,Leben danach,la vie après,la vida después,Livet efter,SONRA HAYAT,życie po,la vita dopo
any_purchase,Any purchase will remove all ads,Jeder Kauf entfernt alle Anzeigen,Tout achat supprimera toutes les publicités,Cualquier compra eliminará todos los anuncios,Alla köp kommer att ta bort alla annonser,Herhangi bir satın alma işlemi tüm reklamları kaldıracaktır,Każdy zakup usunie wszystkie reklamy,Ogni acquisto rimuoverà tutti gli annunci
want_continue,Target not reached :(,Ziel nicht erreicht :(,Objectif non atteint :(,Objetivo no alcanzado :(,Målet har inte uppnåtts :(,Hedefe ulaşılamadı :(,Cel nie został osiągnięty :(,Obiettivo non raggiunto :(
SPIN,SPIN,SPIN,DREHEN,GIRAR,SPIN,DÖNÜŞ,SPIN,SPIN
coins_shop,Coins Shop,Münzen Shop,Boutique de pièces,Tienda de monedas,Myntbutik,Madeni Para Dükkanı,Sklep z monetami,Negozio di monete
play,Play,Spielen,Jouer à,Juega a,Spela,Oyun,Zagraj w,Gioca
you_win,You WIN!,Du gewinnst!,Vous GAGNEZ !,¡GANA!,Du vinner!,Sen kazandın!,Wygrywasz!,Vinci!
you_lose,You lose!,Du verlierst!,Vous perdez !,¡Pierdes!,Du förlorar!,Kaybettin!,Przegrywasz!,Hai perso!
lost_all_lives,Lost all lives?,Alle Leben verloren?,Vous avez perdu toutes vos vies ?,¿Has perdido todas las vidas?,Har du förlorat alla liv?,Tüm canlarınızı mı kaybettiniz?,Straciłeś wszystkie życia?,Hai perso tutte le vite?
select_boosters,Select Boosters:,Wählen Sie Booster:,Sélectionnez Boosters :,Selecciona potenciadores:,Välj Boosters:,Güçlendiricileri seçin:,Wybierz Boostery:,Seleziona i Booster:
NEXT,NEXT,NÄCHSTE,SUIVANT,SIGUIENTE,NÄSTA,İLERİ,NEXT,AVANTI
choco_spiral,Choco Spiral,Schoko-Spirale,Spirale Choco,Espiral de chocolate,Choco Spiral,Çikolatalı Spiral,Choco Spiral,Spirale di cioccolato
spread_the_jelly,Spread the Jelly,Verteile das Gelee,Répandre la gelée,Esparce la gelatina,Sprid gelén,Jöleyi Dağıtın,Rozprowadź galaretkę,Diffondi la gelatina
boom!,BOOM!,BUMM!,BOOM !,¡BOOM!,BOOM!,BOOM!,BOOM!,BOOM!
multicolor_bomb,Multicolor Bomb,Multicolor-Bombe,Bombe multicolore,Bomba multicolor,Multicolor Bomb,Çok Renkli Bomba,Wielokolorowa bomba,Bomba Multicolore
tag,DAY,TAG,JOURNÉE,DÍA,DAG,GÜN,DZIEŃ,GIORNO
watch_video,Watch VIDEO,Video ansehen,Regarder la vidéo,Ver VIDEO,Titta på VIDEO,VİDEOYU İZLE,Zobacz VIDEO,Guarda il video
SHARE,SHARE,TEILEN,PARTAGEZ,COMPARTIR,DELA,PAYLAŞ,SHARE,CONDIVIDI
level_completed,Level COMPLETED!,Level ABGESCHLOSSEN!,Niveau COMPLÉTÉ !,¡Nivel COMPLETADO!,Nivån är slutförd!,Seviye TAMAMLANDI!,Poziom ukończony!,Livello completato!
level_failed,Level FAILED!,Level FEHLGESCHLAGEN!,Niveau ÉCHOUÉ !,¡Nivel FALLIDO!,Nivå misslyckad!,Seviye BAŞARISIZ!,Poziom nieudany!,Livello fallito!
MAP,MAP,KARTE,MAP,MAPA,KARTA,HARİTA,MAPA,MAPPA
AGAIN,AGAIN,WIEDER,ENCORE,OTRA VEZ,IGEN,TEKRAR,AGAIN,DI NUOVO
goal,Goal,Ziel,Objectif,Objetivo,Mål,Hedef,Cel,Obiettivo
refill_all_lives,Refill all lives!,Fülle alle Leben wieder auf!,Remplir toutes les vies !,¡Recarga todas las vidas!,Fyll på alla liv!,Tüm canları doldurun!,Uzupełnij wszystkie życia!,Riempi tutte le vite!
your_target,Your Target:,Dein Ziel:,Votre cible :,Tu objetivo:,Ditt mål:,Hedefiniz:,Twój cel:,Il tuo obiettivo:
thanks,Thanks!,Danke!,Merci !,¡Gracias!,Tack!,Teşekkürler!,Dzięki!,Grazie!
congratulation,Congratulation!,Herzlichen Glückwunsch!,Félicitations !,¡Felicidades!,Grattis!,Tebrikler!,Gratulacje!,Congratulazioni!
extra_moves,Extra moves,Extra Züge,Mouvements supplémentaires,Movimientos extra,Extra drag,Ekstra hareketler,Dodatkowe ruchy,Mosse extra
extra_time,Extra time,Extra Zeit,Temps supplémentaire,Tiempo extra,Extra tid,Ekstra zaman,Dodatkowy czas,Tempo extra
how_to_play,How to play,Wie man spielt,Comment jouer,Cómo jugar,Hur man spelar,Nasıl oynanır,Jak grać,Come giocare
striped_candy,Striped Candy,Gestreifte Bonbons,Bonbon rayé,Caramelo a rayas,Randig godis,Çizgili Şeker,Cukierki w paski,Caramelle a strisce
package,Package,Paket,Paquet,Paquete,Paket,Paket,Zapakuj,Pacchetto
collect_all_items,Collect all ITEMS,Sammle alle ITEMS,Recueillir tous les ITEMS,Recoge todos los OBJETOS,Samla alla föremål,Tüm ÖĞELERİ toplayın,Zbierz wszystkie przedmioty,Raccogli tutti gli ARTICOLI
multicolor_candy,Multicolor CANDY,Mehrfarbige CANDY,Bonbons multicolores,caramelos multicolor,Multicolor CANDY,Çok Renkli ŞEKER,Wielokolorowe CANDY,Caramelle multicolori
logout,Logout,Abmelden,Déconnexion,Cerrar sesión,Logga ut,Oturum Kapatma,Wyloguj się,Disconnettersi
connect,Connect,Verbinden,Se connecter,Conectar,Anslut,Bağlan,Połącz się,Connettersi
invite,Invite,Einladen,Inviter,Invitar a,Bjud in,Davetiye,Zaproś,Invita
FULL,FULL,FULL,COMPLET,COMPLETO,FULL,TAM,PEŁNA,COMPLETO
use_to_get_multicolor,Use it to get Multicolor Candy,"Verwenden Sie es, um Multicolor Candy zu bekommen",Utilisez-la pour obtenir des bonbons multicolores,Úsalo para conseguir Multicolor Candy,Använd den för att få Multicolor Candy,Çok Renkli Şeker elde etmek için kullanın,"Użyj go, aby otrzymać Multicolor Candy",Usalo per ottenere Candy Multicolore
BUY,BUY,KAUFEN,ACHETER,COMPRAR,KÖP,SATIN AL,KUP,ACQUISTO
MOVES,MOVES,ZÜGE,MOUVEMENTS,MOVIMIENTOS,MOVES,HAREKETLER,RUCHY,MOVIMENTI
combine_more_candies,Combine more candies the same color for WIN!,Kombiniere mehr Bonbons der gleichen Farbe für WIN!,Combinez plus de bonbons de la même couleur pour GAGNER !,¡Combina más caramelos del mismo color para GANAR!,Kombinera fler godis av samma färg för att vinna!,KAZANMAK için aynı renkte daha fazla şekeri birleştirin!,"Połącz więcej cukierków tego samego koloru, aby wygrać!",Combina più caramelle dello stesso colore per vincere!
SCORE,SCORE,Score,SCORE,PUNTUACIÓN,SCORE,PUAN,SCORE,PUNTEGGIO
buy_Booster!,Buy Booster!,Kaufe Booster!,Acheter Booster !,¡Comprar Refuerzo!,Köp Booster!,Booster al!,Kup Booster!,Compra Booster!
you_didnt_fill_jelly,You didn't fill JELLY everywhere,Du hast JELLY nicht überall aufgefüllt,Vous n'avez pas mis de la JELLY partout,No has llenado de gelatina todas partes,Du fyllde inte JELLY överallt,Her yere Jöle doldurmadın,Nie wszędzie wypełniłeś JELLY,Non hai riempito la gelatina ovunque
spread_the_jelly,Spread the jelly everywhere,Verteile das Gelee überall,Répandez la gelée partout,Esparce la gelatina por todas partes,Sprid ut gelén överallt,Jöleyi her yere sürün,Rozłóż galaretkę wszędzie,Distribuisci la gelatina ovunque
you_got_coins,You got coins,Du hast Münzen,Vous avez des pièces,Tienes monedas,Du har mynt,Paralarınız var.,Masz monety,Hai ottenuto delle monete
combine_5_chocolates_in_one,"Combine 5 chocolates in one row, to create a bomb. It destroys all items on the field with the same color.","Kombiniere 5 Pralinen in einer Reihe, um eine Bombe zu erzeugen. Sie zerstört alle Gegenstände auf dem Spielfeld, die die gleiche Farbe haben.","Combinez 5 chocolats dans une rangée, pour créer une bombe. Elle détruit tous les objets de la même couleur sur le terrain.","Combina 5 chocolatinas en una fila, para crear una bomba. Destruye todos los objetos del campo con el mismo color.",Kombinera 5 chokladbitar i en rad för att skapa en bomb. Den förstör alla föremål på fältet med samma färg.,Bir bomba oluşturmak için 5 çikolatayı tek bir sırada birleştirin. Alandaki aynı renkteki tüm öğeleri yok eder.,"Połącz 5 czekoladek w jednym rzędzie, aby stworzyć bombę. Niszczy ona wszystkie przedmioty na polu o tym samym kolorze.",Combina 5 cioccolatini in fila per creare una bomba. Distrugge tutti gli oggetti sul campo dello stesso colore.
combine_more_candies_same_color,Combine more candies the same colors for WIN!,"Kombiniere mehr gleichfarbige Bonbons, um zu gewinnen!",Combinez plus de bonbons de la même couleur pour GAGNER !,Combina más chocolates del mismo color para ¡GANAR!,Kombinera fler godis med samma färger för att vinna!,KAZANMAK için aynı renkte daha fazla şekeri birleştirin!,"Połącz więcej cukierków o tych samych kolorach, aby wygrać!",Combina più caramelle dello stesso colore per vincere!
